PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Vakhtang Abrahamyan;Vakhtang Abrahamyan;ARM;vakhtang;abrahamyan;ARM;;;;;0;0;;;;;;;;;
Oleg Aghasyan;Oleg Aghasyan;ARM;oleg;aghasyan;ARM;;;;;0;0;;;;;;;;;
Arthur Stepanyan;Arthur Stepanyan;ARM;arthur;stepanyan;ARM;;;;;0;0;;;;;;;;;
Herbert Coombs;Herbert Coombs;AUS;herbert;coombs;AUS;;;;;2;0;;;;;;;;;
JG Phillips;John Phillips;AUS;john;phillips;AUS;;;;;2;0;;;;;;;;;
HM Knight;Harold Knight;AUS;harold;knight;AUS;;;;;2;0;;;;;;;;;
RA Johnston;Bob Johnston;AUS;bob;johnston;AUS;;;;;2;0;;;;;;;;;
JG Phillips;Mervyn Phillips;AUS;mervyn;phillips;AUS;;;;;1;0;;;;;;;;;
Frank Lowy;Frank Lowy;AUS;frank;lowy;AUS;;;;;0;0;;;;;;;;;
Alan Jackson;Alan Jackson;AUS;alan;jackson;AUS;;;;;0;0;;;;;;;;;
Hugh Morgan;Hugh Morgan;AUS;hugh;morgan;AUS;;;;;0;0;;;;;;;;;
Graham Kraehe;Graham Kraehe;AUS;graham;kraehe;AUS;;;;;2;0;;;;;;;;;
BW Fraser;Bernie Fraser;AUS;bernie;fraser;AUS;;;;;2;0;;;;;;;;;
Richard Warburton;Richard Warburton;AUS;richard;warburton;AUS;;;;;0;0;;;;;;;;;
Roger Corbett;Roger Corbett;AUS;roger;corbett;AUS;;;;;0;0;;;;;;;;;
Robert Gerard;Robert Gerard;AUS;robert;gerard;AUS;;;;;0;0;;;;;;;;;
IJ Macfarlane;Stephen Grenville;AUS;stephen;grenville;AUS;;;;;1;0;;;;;;;;;
Jillian Broadbent;Jillian Broadbent;AUS;jillian;broadbent;AUS;;;;;2;1;;;;;;;;;
John Akehurst;John Akehurst;AUS;john;akehurst;AUS;;;;;0;0;;;;;;;;;
John Edwards;John Edwards;AUS;john;edwards;AUS;;;;;0;0;;;;;;;;;
Allan Moss;Allan Moss;AUS;allan;moss;AUS;;;;;0;0;;;;;;;;;
Donald McGauchie;Donald Mcgauchie;AUS;donald;mcgauchie;AUS;;;;;2;0;;;;;;;;;
Ric Battellino;Ric Battellino;AUS;ric;battellino;AUS;;;;;2;0;;;;;;;;;
Heather Ridout;Heather Ridout;AUS;heather;ridout;AUS;;;;;0;1;;;;;;;;;
Carol Louise Schwartz AO;Carol Ao;AUS;carol;ao;AUS;;;;;0;1;;;;;;;;;
Carolyn Hewson;Carolyn Hewson;AUS;carolyn;hewson;AUS;;;;;0;1;;;;;;;;;
David Clarke;David Clarke;AUS;david;clarke;AUS;;;;;0;0;;;;;;;;;
Warwick McKibbin;Warwick Mckibbin;AUS;warwick;mckibbin;AUS;;;;;2;0;;;;;;;;;
Ian Harper;Ian Harper;AUS;ian;harper;AUS;;;;;0;0;;;;;;;;;
Glenn Stevens;Glenn Stevens;AUS;glenn;stevens;AUS;;;;;2;0;;;;;;;;;
Iain Ross;Iain Ross;AUS;iain;ross;AUS;;;;;0;0;;;;;;;;;
Warwick Hunt;Warwick Hunt;AUS;warwick;hunt;AUS;;;;;0;0;;;;;;;;;
Catherine Tanna;Catherine Tanna;AUS;catherine;tanna;AUS;;;;;0;1;;;;;;;;;
Elana Rubin;Elana Rubin;AUS;elana;rubin;AUS;;;;;0;1;;;;;;;;;
Kathryn Fagg;Kathryn Fagg;AUS;kathryn;fagg;AUS;;;;;0;1;;;;;;;;;
Philip Lowe;Philip Lowe;AUS;philip;lowe;AUS;;;;;2;0;;;;;;;;;
Alison Watkins;Alison Watkins;AUS;alison;watkins;AUS;;;;;0;1;;;;;;;;;
Michele Bullock;Michele Bullock;AUS;michele;bullock;AUS;;;;;1;1;;;;;;;;;
Michele Bullock;Michele Bullock;AUS;michele;bullock;AUS;;;;;2;1;;;;;;;;;
Brad Banducci;Brad Banducci;AUS;brad;banducci;AUS;;;;;0;0;;;;;;;;;
Guy Debelle;Guy Debelle;AUS;guy;debelle;AUS;;;;;1;0;;;;;;;;;
Guy Debelle;Guy Debelle;AUS;guy;debelle;AUS;;;;;1;0;;;;;;;;;
Andrew Hauser;Andrew Hauser;AUS;andrew;hauser;AUS;;;;;1;0;;;;;;;;;
Andrew Charlton;Andrew Charlton;AUS;andrew;charlton;AUS;;;;;0;0;;;;;;;;;
A.P. Payan;A Payan;AUS;a;payan;AUS;;;;;0;0;;;;;;;;;
Bruce Preston;Bruce Preston;AUS;bruce;preston;AUS;;;;;0;0;;;;;;;;;
Richard Reisch;Richard Reisch;AUT;richard;reisch;AUT;;;;;2;0;;;;;;;;;
Viktor Kienböck;Viktor Kienbock;AUT;viktor;kienbock;AUT;;;;;2;0;;;;;;;;;
Hans Rizzi;Hans Rizzi;AUT;hans;rizzi;AUT;;;;;2;0;;;;;;;;;
Eugen Margarétha;Eugen Margaretha;AUT;eugen;margaretha;AUT;;;;;2;0;;;;;;;;;
Eugen Kaniak;Eugen Kaniak;AUT;eugen;kaniak;AUT;;;;;2;0;;;;;;;;;
Dr. Hans Kloss;Hans Kloss;AUT;hans;kloss;AUT;;;;;2;0;;;;;;;;;
Reinhard Kamitz;Reinhard Kamitz;AUT;reinhard;kamitz;AUT;;;;;2;0;;;;;;;;;
Dr. Wolfgang Schmitz;Wolfgang Schmitz;AUT;wolfgang;schmitz;AUT;;;;;2;0;;;;;;;;;
Dr. Helmuth Klauhs;Hellmuth Klauhs;AUT;hellmuth;klauhs;AUT;;;;;2;0;;;;;;;;;
Dr. Maria Schaumayer;Maria Schaumayer;AUT;maria;schaumayer;AUT;;;;;2;1;;;;;;;;;
Adolf Wala;Adolf Wala;AUT;adolf;wala;AUT;;;;;2;0;;;;;;;;;
Adolf Wala;Adolf Wala;AUT;adolf;wala;AUT;;;;;2;0;;;;;;;;;
Herbert Schimetschek;Herbert Schimetschek;AUT;herbert;schimetschek;AUT;;;;;2;0;;;;;;;;;
Dr. Klaus Liebscher;Klaus Liebscher;AUT;klaus;liebscher;AUT;;;;;2;0;;;;;;;;;
Claus Raidl;Claus Raidl;AUT;claus;raidl;AUT;;;;;2;0;;;;;;;;;
Ewald Nowotny;Ewald Nowotny;AUT;ewald;nowotny;AUT;;;;;2;0;;;;;;;;;
Robert Holzmann;Robert Holzmann;AUT;robert;holzmann;AUT;;;;;2;0;;;;;;;;;
Gertrude Tumpel-Gugerell;Gertrude Tumpelgugerell;AUT;gertrude;tumpelgugerell;AUT;;;;;1;1;;;;;;;;;
Gertrude Tumpel-Gugerell;Gertrude Tumpelgugerell;AUT;gertrude;tumpelgugerell;AUT;;;;;0;1;;;;;;;;;
Johannes Hahn;Johannes Hahn;AUT;johannes;hahn;AUT;;;;;0;0;;;;;;;;;
Ingrid Reischl;Ingrid Reischl;AUT;ingrid;reischl;AUT;;;;;0;1;;;;;;;;;
Gottfried Haber;Gottfried Haber;AUT;gottfried;haber;AUT;;;;;1;0;;;;;;;;;
Harald Mahrer;Harald Mahrer;AUT;harald;mahrer;AUT;;;;;0;0;;;;;;;;;
Martin Kocher;Martin Kocher;AUT;martin;kocher;AUT;;;;;2;0;;;;;;;;;
Bettina Dorfer‑Pauschenwein;Bettina Dorferpauschenwein;AUT;bettina;dorferpauschenwein;AUT;;;;;1;1;;;;;;;;;
Stephan Koren;Stephan Koren;AUT;stephan;koren;AUT;;;;;2;0;;;;;;;;;
Qalib Ağayev;Qalib Agayev;AZE;qalib;agayev;AZE;;;;;2;0;;;;;;;;;
Qalib Ağayev;Qalib Agayev;AZE;qalib;agayev;AZE;;;;;2;0;;;;;;;;;
Elman Rustamov;Elman Rustamov;AZE;elman;rustamov;AZE;;;;;2;0;;;;;;;;;
Alim Guliyev;Alim Guliyev;AZE;alim;guliyev;AZE;;;;;1;0;;;;;;;;;
Taleh Kazimov;Taleh Kazimov;AZE;taleh;kazimov;AZE;;;;;2;0;;;;;;;;;
Cavanşir Abdullayev;Cavansir Abdullayev;AZE;cavansir;abdullayev;AZE;;;;;2;0;;;;;;;;;
Greogiore Bayiyezako;Greogiore Bayiyezako;BDI;greogiore;bayiyezako;BDI;;;;;2;0;;;;;;;;;
Salvator Toyi;Salvator Toyi;BDI;salvator;toyi;BDI;;;;;2;0;;;;;;;;;
Grégoire Banyiyezako;Gregoire Banyiyezako;BDI;gregoire;banyiyezako;BDI;;;;;2;0;;;;;;;;;
Gaspard Sindayigaya;Gaspard Sindayigaya;BDI;gaspard;sindayigaya;BDI;;;;;2;0;;;;;;;;;
Bonaventure Kidwingira;Bonaventure Kidwingira;BDI;bonaventure;kidwingira;BDI;;;;;2;0;;;;;;;;;
Elisee Ntahonikora;Elisee Ntahonikora;BDI;elisee;ntahonikora;BDI;;;;;2;0;;;;;;;;;
Aloys Ntahonkiriye;Aloys Ntahonkiriye;BDI;aloys;ntahonkiriye;BDI;;;;;2;0;;;;;;;;;
Isaac Budabuda;Isaac Budabuda;BDI;isaac;budabuda;BDI;;;;;2;0;;;;;;;;;
Mathias Sinamenye;Mathias Sinamenye;BDI;mathias;sinamenye;BDI;;;;;2;0;;;;;;;;;
Gabriel Ntisezerana;Gabriel Ntisezerana;BDI;gabriel;ntisezerana;BDI;;;;;2;0;;;;;;;;;
Isaac Bizimana;Isaac Bizimana;BDI;isaac;bizimana;BDI;;;;;2;0;;;;;;;;;
Jean Ciza;Jean Ciza;BDI;jean;ciza;BDI;;;;;2;0;;;;;;;;;
Édouard Normand Bigendako;Edouard Bigendako;BDI;edouard;bigendako;BDI;;;;;2;0;;;;;;;;;
Maurice Frère;Maurice Frere;BEL;maurice;frere;BEL;;;;;2;0;;;;;;;;;
Hubert Ansiaux;Hubert Ansiaux;BEL;hubert;ansiaux;BEL;;;;;2;0;;;;;;;;;
Robert Vandeputte;Robert Vandeputte;BEL;robert;vandeputte;BEL;;;;;2;0;;;;;;;;;
Baron Cecil de Strycker;Cecil Strycker;BEL;cecil;strycker;BEL;;;;;2;0;;;;;;;;;
Baron Jean Godeaux;Jean Godeaux;BEL;jean;godeaux;BEL;;;;;2;0;;;;;;;;;
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;;;;;2;0;;;;;;;;;
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;;;;;2;0;;;;;;;;;
Rik Branson;Rik Branson;BEL;rik;branson;BEL;;;;;0;0;;;;;;;;;
Guy Quaden;Guy Quaden;BEL;guy;quaden;BEL;;;;;2;0;;;;;;;;;
Luc Coene;Luc Coene;BEL;luc;coene;BEL;;;;;2;0;;;;;;;;;
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;;;;;;;;;
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;;;;;;;;;
Gerald Frère;Gerald Frere;BEL;gerald;frere;BEL;;;;;0;0;;;;;;;;;
Didier Matray;Didier Matray;BEL;didier;matray;BEL;;;;;0;0;;;;;;;;;
Jan Smets;Jan Smets;BEL;jan;smets;BEL;;;;;2;0;;;;;;;;;
Rudi Thomaes;Rudi Thomaes;BEL;rudi;thomaes;BEL;;;;;0;0;;;;;;;;;
Eddy Varmoesen;Eddy Varmoesen;BEL;eddy;varmoesen;BEL;;;;;0;0;;;;;;;;;
Marcia de Wachter;Marcia Wachter;BEL;marcia;wachter;BEL;;;;;0;1;;;;;;;;;
Guy Haaze;Guy Haaze;BEL;guy;haaze;BEL;;;;;0;0;;;;;;;;;
Rudy De Leeuw;Rudy Leeuw;BEL;rudy;leeuw;BEL;;;;;0;0;;;;;;;;;
Carl Devlies;Carl Devlies;BEL;carl;devlies;BEL;;;;;0;0;;;;;;;;;
Jan Vercamst;Jan Vercamst;BEL;jan;vercamst;BEL;;;;;0;0;;;;;;;;;
Christl Joris;Christl Joris;BEL;christl;joris;BEL;;;;;0;1;;;;;;;;;
Yves Prete;Yves Prete;BEL;yves;prete;BEL;;;;;0;0;;;;;;;;;
Jean Louis Six;Jean Six;BEL;jean;six;BEL;;;;;0;0;;;;;;;;;
Jean Francois Cats;Jean Cats;BEL;jean;cats;BEL;;;;;0;0;;;;;;;;;
Eric Mathay;Eric Mathay;BEL;eric;mathay;BEL;;;;;0;0;;;;;;;;;
Michèle Detaille;Michele Detaille;BEL;michele;detaille;BEL;;;;;0;1;;;;;;;;;
Claire Tillekaerts;Claire Tillekaerts;BEL;claire;tillekaerts;BEL;;;;;0;1;;;;;;;;;
Hans Dhondt;Hans Dhondt;BEL;hans;dhondt;BEL;;;;;0;0;;;;;;;;;
Jean Eylenbosch;Jean Eylenbosch;BEL;jean;eylenbosch;BEL;;;;;0;0;;;;;;;;;
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;0;0;;;;;;;;;
Mario Coppens;Mario Coppens;BEL;mario;coppens;BEL;;;;;0;0;;;;;;;;;
Thierry Bodson;Thierry Bodson;BEL;thierry;bodson;BEL;;;;;0;0;;;;;;;;;
Christine Mahy;Christine Mahy;BEL;christine;mahy;BEL;;;;;0;1;;;;;;;;;
Marc Leemans;Marc Leemans;BEL;marc;leemans;BEL;;;;;0;0;;;;;;;;;
Mia Schamphelaere;Mia Schamphelaere;BEL;mia;schamphelaere;BEL;;;;;0;1;;;;;;;;;
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;1;0;;;;;;;;;
Christian Van Thillo;Christian Thillo;BEL;christian;thillo;BEL;;;;;0;0;;;;;;;;;
Fabienne Bister;Fabienne Bister;BEL;fabienne;bister;BEL;;;;;0;1;;;;;;;;;
Veronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;;
Jo Swyngedouw;Jo Swyngedouw;BEL;jo;swyngedouw;BEL;;;;;0;0;;;;;;;;;
Pieter Timmermans;Pieter Timmermans;BEL;pieter;timmermans;BEL;;;;;0;0;;;;;;;;;
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;;;;;1;0;;;;;;;;;
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;;;;;1;0;;;;;;;;;
Véronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;;
Robert Vertenueil;Robert Vertenueil;BEL;robert;vertenueil;BEL;;;;;0;0;;;;;;;;;
Karel Van Eetvel;Karel Eetvel;BEL;karel;eetvel;BEL;;;;;0;0;;;;;;;;;
Sonja De Becker;Sonja Becker;BEL;sonja;becker;BEL;;;;;0;1;;;;;;;;;
Pierre Wunsch;Pierre Wunsch;BEL;pierre;wunsch;BEL;;;;;2;0;;;;;;;;;
Gregoire Koutentakis;Gregoire Koutentakis;BEL;gregoire;koutentakis;BEL;;;;;0;0;;;;;;;;;
Vincent Magnee;Vincent Magnee;BEL;vincent;magnee;BEL;;;;;0;0;;;;;;;;;
Danny Assche;Danny Assche;BEL;danny;assche;BEL;;;;;0;0;;;;;;;;;
Estelle Cantillo;Estelle Cantillo;BEL;estelle;cantillo;BEL;;;;;0;1;;;;;;;;;
Tim Hermans;Tim Hermans;BEL;tim;hermans;BEL;;;;;0;0;;;;;;;;;
Géraldine Van der Stichele;Geraldine Stichele;BEL;geraldine;stichele;BEL;;;;;0;1;;;;;;;;;
Pieter Verhelst;Pieter Verhelst;BEL;pieter;verhelst;BEL;;;;;0;0;;;;;;;;;
Lionel Rouget;Lionel Rouget;BEL;lionel;rouget;BEL;;;;;0;0;;;;;;;;;
Dimitri Lhoste;Dimitri Lhoste;BEL;dimitri;lhoste;BEL;;;;;0;0;;;;;;;;;
Cedric Frère;Cedric Frere;BEL;cedric;frere;BEL;;;;;0;0;;;;;;;;;
Louise Fromont;Louise Fromont;BEL;louise;fromont;BEL;;;;;0;1;;;;;;;;;
Bernard Jurion;Bernard Jurion;BEL;bernard;jurion;BEL;;;;;0;0;;;;;;;;;
Edwin De Boeck;Edwin Boeck;BEL;edwin;boeck;BEL;;;;;0;0;;;;;;;;;
Marjan Maes;Marjan Maes;BEL;marjan;maes;BEL;;;;;0;1;;;;;;;;;
Gilles Vandorpe;Gilles Vandorpe;BEL;gilles;vandorpe;BEL;;;;;0;0;;;;;;;;;
Adidjatou Mathys;Adidjatou Mathys;BEN;adidjatou;mathys;BEN;;;;;0;1;;;;;;;;;
Houessou Yaovi Hadonou;Houessou Hadonou;BEN;houessou;hadonou;BEN;;;;;0;0;;;;;;;;;
Oumara Karimou Assouma;Oumara Assouma;BEN;oumara;assouma;BEN;;;;;0;0;;;;;;;;;
Alain Michel Komaclo;Alain Komaclo;BEN;alain;komaclo;BEN;;;;;0;0;;;;;;;;;
Emmanuel Assilamehoo;Emmanuel Assilamehoo;BEN;emmanuel;assilamehoo;BEN;;;;;0;0;;;;;;;;;
Damo Justin Baro;Damo Baro;BFA;damo;baro;BFA;;;;;2;0;;;;;;;;;
Damo Justin Baro;Damo Baro;BFA;damo;baro;BFA;;;;;2;0;;;;;;;;;
Robert Julienne;Robert Julienne;BFA;robert;julienne;BFA;;;;;2;0;;;;;;;;;
Abdoulaye Fadiga;Abdoulaye Fadiga;BFA;abdoulaye;fadiga;BFA;;;;;2;0;;;;;;;;;
Justin Damo Baro;Justin Baro;BFA;justin;baro;BFA;;;;;2;0;;;;;;;;;
Philippe-Henri Dakoury-Tabley;Philippe Dakourytabley;BFA;philippe;dakourytabley;BFA;;;;;2;0;;;;;;;;;
Jean-Baptiste M.P. Compaore;Jean Compaore;BFA;jean;compaore;BFA;;;;;1;0;;;;;;;;;
A.N.M Hamidullah;A Hamidullah;BGD;a;hamidullah;BGD;;;;;2;0;;;;;;;;;
M. Nurul Islam;Nurul Islam;BGD;nurul;islam;BGD;;;;;2;0;;;;;;;;;
Sarkar;Lutfar Sarkar;BGD;lutfar;sarkar;BGD;;;;;2;0;;;;;;;;;
Dr. Salehuddin Ahmed;A Ahmed;BGD;a;ahmed;BGD;;;;;2;0;;;;;;;;;
Shegufta Bakht Chaudhuri;Shegufta Chaudhuri;BGD;shegufta;chaudhuri;BGD;;;;;2;1;;;;;;;;;
A.K.N. Ahmed;A Ahmed;BGD;a;ahmed;BGD;;;;;2;0;;;;;;;;;
Khorshed Alam;Khorshed Alam;BGD;khorshed;alam;BGD;;;;;2;0;;;;;;;;;
A.K.N. Ahmed;Fakhruddin Ahmed;BGD;fakhruddin;ahmed;BGD;;;;;2;0;;;;;;;;;
Dr. Fakhruddin Ahmed;Fakhruddin Ahmed;BGD;fakhruddin;ahmed;BGD;;;;;2;0;;;;;;;;;
Sanat Kumar Saha;Sanat Saha;BGD;sanat;saha;BGD;;;;;0;0;;;;;;;;;
Farashuddin;Mohammed Farashuddin;BGD;mohammed;farashuddin;BGD;;;;;2;0;;;;;;;;;
Mustafa Kamal Mujeri;Mustafa Mujeri;BGD;mustafa;mujeri;BGD;;;;;0;0;;;;;;;;;
A. K. M. Aftab ul Islam;A Islam;BGD;a;islam;BGD;;;;;0;0;;;;;;;;;
Dr. Atiur Rahman;Atiur Rahman;BGD;atiur;rahman;BGD;;;;;2;0;;;;;;;;;
Mohammad Ali Taslim;Mohammad Taslim;BGD;mohammad;taslim;BGD;;;;;2;0;;;;;;;;;
Ahsan H. Mansur;Ahsan Mansur;BGD;ahsan;mansur;BGD;;;;;2;0;;;;;;;;;
Abul Quasem;Abul Quasem;BGD;abul;quasem;BGD;;;;;2;0;;;;;;;;;
S. M. Mahfuzur Rahman;S Rahman;BGD;s;rahman;BGD;;;;;0;0;;;;;;;;;
Sadiq Ahmed;Sadiq Ahmed;BGD;sadiq;ahmed;BGD;;;;;0;0;;;;;;;;;
Nazrul Huda;Nazrul Huda;BGD;nazrul;huda;BGD;;;;;0;0;;;;;;;;;
Dr. Salehuddin Ahmed;Nasiruddin Ahmed;BGD;nasiruddin;ahmed;BGD;;;;;0;0;;;;;;;;;
Rushidan Islam Rahman;Rushidan Rahman;BGD;rushidan;rahman;BGD;;;;;0;0;;;;;;;;;
Mohammad Tareque;Mohammad Tareque;BGD;mohammad;tareque;BGD;;;;;0;0;;;;;;;;;
Shafiqur Rahman Patwari;Shafiqur Patwari;BGD;shafiqur;patwari;BGD;;;;;0;0;;;;;;;;;
Fazle Kabir;Fazle Kabir;BGD;fazle;kabir;BGD;;;;;2;0;;;;;;;;;
Musharraf Hossain Bhuiyan;Musharraf Bhuiyan;BGD;musharraf;bhuiyan;BGD;;;;;2;0;;;;;;;;;
Kazi Muktadir;Kazi Muktadir;BGD;kazi;muktadir;BGD;;;;;1;0;;;;;;;;;
Hedayetullah Al Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;0;0;;;;;;;;;
Hedayetullah Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;2;0;;;;;;;;;
Mohammad Muslim Chowdhury;Mohammad Chowdhury;BGD;mohammad;chowdhury;BGD;;;;;0;0;;;;;;;;;
Nojibur Rahman;Nojibur Rahman;BGD;nojibur;rahman;BGD;;;;;0;0;;;;;;;;;
Ahmed Jamal;Ahmed Jamal;BGD;ahmed;jamal;BGD;;;;;1;0;;;;;;;;;
A.K.N. Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;;
Dr. Salehuddin Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;;
M Khan;M Khan;BGD;m;khan;BGD;;;;;1;0;;;;;;;;;
Abu Nasser;Abu Nasser;BGD;abu;nasser;BGD;;;;;1;0;;;;;;;;;
Abdur Rouf Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;0;0;;;;;;;;;
Abdur Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;2;0;;;;;;;;;
Mostakur Rahman;Mostakur Rahman;BGD;mostakur;rahman;BGD;;;;;2;0;;;;;;;;;
Md. Ezazul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;;
Md. Zabaidul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;;
Dr. Fakhruddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;;
Dr. Salehuddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;;
A.K.N. Ahmed;Momtaz Ahmed;BGD;momtaz;ahmed;BGD;;;;;2;0;;;;;;;;;
Ghulam Hussain;Ghulam Hussain;BGD;ghulam;hussain;BGD;;;;;2;0;;;;;;;;;
Dr. Atiur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;0;0;;;;;;;;;
Dr. Atiur Rahman;Kazi Rahman;BGD;kazi;rahman;BGD;;;;;1;0;;;;;;;;;
Md. Habibur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;1;0;;;;;;;;;
Todor Valchev;Todor Valchev;BGR;todor;valchev;BGR;;;;;2;0;;;;;;;;;
Lyubomir Filipov;Lyubomir Filipov;BGR;lyubomir;filipov;BGR;;;;;2;0;;;;;;;;;
Svetoslav Gavriiski;Svetoslav Gavriiski;BGR;svetoslav;gavriiski;BGR;;;;;2;0;;;;;;;;;
Emilia Milanova;Emilia Milanova;BGR;emilia;milanova;BGR;;;;;1;1;;;;;;;;;
Oleg Nedyalkov;Oleg Nedyalkov;BGR;oleg;nedyalkov;BGR;;;;;2;0;;;;;;;;;
Emiliya Milanova;Emiliya Milanova;BGR;emiliya;milanova;BGR;;;;;2;1;;;;;;;;;
Statty Stattev;Statty Stattev;BGR;statty;stattev;BGR;;;;;0;0;;;;;;;;;
Dimitar Radev;Dimitar Radev;BGR;dimitar;radev;BGR;;;;;2;0;;;;;;;;;
Dimitar Kostov;Dimiter Kostov;BGR;dimiter;kostov;BGR;;;;;1;0;;;;;;;;;
Dimitar Kostov;Dimitar Kostov;BGR;dimitar;kostov;BGR;;;;;1;0;;;;;;;;;
Tsvetan Gunev;Tsvetan Gunev;BGR;tsvetan;gunev;BGR;;;;;1;0;;;;;;;;;
Tsvetan Manchev;Tsvetan Manchev;BGR;tsvetan;manchev;BGR;;;;;1;0;;;;;;;;;
Tsvetan Manchev;Tsvetan Manchev;BGR;tsvetan;manchev;BGR;;;;;1;0;;;;;;;;;
Nikolay Nenovsky;Nikolay Nenovsky;BGR;nikolay;nenovsky;BGR;;;;;0;0;;;;;;;;;
Nina Stoyanova;Nina Stoyanova;BGR;nina;stoyanova;BGR;;;;;1;1;;;;;;;;;
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;;;;;2;0;;;;;;;;;
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;;;;;2;0;;;;;;;;;
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;;;;;1;0;;;;;;;;;
Kalin Hristov;Kalin Hristov;BGR;kalin;hristov;BGR;;;;;1;0;;;;;;;;;
Radoslav Milenkov;Radoslav Milenkov;BGR;radoslav;milenkov;BGR;;;;;1;0;;;;;;;;;
Lyudmila Elkova;Lyudmila Elkova;BGR;lyudmila;elkova;BGR;;;;;0;1;;;;;;;;;
Lyudmila Elkova;Lyudmila Elkova;BGR;lyudmila;elkova;BGR;;;;;0;1;;;;;;;;;
Elitsa Nikolova;Elitsa Nikolova;BGR;elitsa;nikolova;BGR;;;;;0;1;;;;;;;;;
Iliya Lingorski;Iliya Lingorski;BGR;iliya;lingorski;BGR;;;;;0;0;;;;;;;;;
Andrey Gurov;Andrey Gurov;BGR;andrey;gurov;BGR;;;;;1;0;;;;;;;;;
Petar Chobanov;Petar Chobanov;BGR;petar;chobanov;BGR;;;;;1;0;;;;;;;;;
Petar Chobanov;Petar Chobanov;BGR;petar;chobanov;BGR;;;;;1;0;;;;;;;;;
Ivan Stefanov;Ivan Stefanov;BGR;ivan;stefanov;BGR;;;;;2;0;;;;;;;;;
Tzonyu Tzonchev;Tzonyu Tzonchev;BGR;tzonyu;tzonchev;BGR;;;;;2;0;;;;;;;;;
Atanas Mechkarov;Atanas Mechkarov;BGR;atanas;mechkarov;BGR;;;;;2;0;;;;;;;;;
Vela Lukanova;Vela Lukanova;BGR;vela;lukanova;BGR;;;;;2;0;;;;;;;;;
Kiril Nestorov;Kiril Nestorov;BGR;kiril;nestorov;BGR;;;;;2;0;;;;;;;;;
Kiril Zarev;Kiril Zarev;BGR;kiril;zarev;BGR;;;;;2;0;;;;;;;;;
Veselin Nikiforov;Veselin Nikiforov;BGR;veselin;nikiforov;BGR;;;;;2;0;;;;;;;;;
Vasil Kolarov;Vasil Kolarov;BGR;vasil;kolarov;BGR;;;;;2;0;;;;;;;;;
Ivan Dragnevski;Ivan Dragnevski;BGR;ivan;dragnevski;BGR;;;;;2;0;;;;;;;;;
Garabed Minassian;Garabed Minassian;BGR;garabed;minassian;BGR;;;;;0;0;;;;;;;;;
Rumen Simeonov;Rumen Simeonov;BGR;rumen;simeonov;BGR;;;;;1;0;;;;;;;;;
Penka Kratunova;Penka Kratunova;BGR;penka;kratunova;BGR;;;;;2;1;;;;;;;;;
Boryana Pencheva;Boryana Pencheva;BGR;boryana;pencheva;BGR;;;;;0;1;;;;;;;;;
Nelly Kordovska;Nelly Kordovska;BGR;nelly;kordovska;BGR;;;;;0;1;;;;;;;;;
Abdulla Hassan Saif;Abdullah Saif;BHR;abdullah;saif;BHR;;;;;2;0;;;;;;;;;
Rasheed Maraj;Rasheed Maraj;BHR;rasheed;maraj;BHR;;;;;2;0;;;;;;;;;
Shaikh Abdulla bin Khalifa Al Khalifa;Ahmed Khalifa;BHR;ahmed;khalifa;BHR;;;;;2;0;;;;;;;;;
